Accident_Index;longitude;latitude;Police_Force;Accident_Severity;Number_of_Vehicles;Number_of_Casualties;Day_of_Week;Time;Local_Authority_(District);Local_Authority_(Highway);1st_Road_Class;1st_Road_Number;Road_Type;Speed_limit;Junction_Detail;Junction_Control;2nd_Road_Class;2nd_Road_Number;Pedestrian_Crossing-Human_Control;Pedestrian_Crossing-Physical_Facilities;Light_Conditions;Weather_Conditions;Road_Surface_Conditions;Special_Conditions_at_Site;Carriageway_Hazards;Urban_or_Rural_Area;Did_Police_Officer_Attend_Scene_of_Accident;LSOA_of_Accident_Location;Date
20;7.861.996.151;1.472.219.681;1;2;1;1;7;03:00;12;E09000020;3;4;6;30;3;4;6;0;0;0;4;1;1;0;0;1;1;E01002821;08/01/2018
21;7.857.722.074;1.468.993.894;1;3;1;1;2;21:45;12;E09000020;6;0;6;30;0;-1;-1;0;0;0;4;1;1;0;0;1;2;E01002839;24/01/2018
22;7.860.244.576;1.478.535.045;1;3;2;1;2;17:05;12;E09000020;4;415;6;30;3;4;5;0;0;0;4;1;1;0;0;1;2;E01002882;24/01/2018
23;7.864.223.571;146.911.247;1;3;2;1;2;21:30;12;E09000020;3;3220;3;30;6;2;3;3220;0;0;4;1;4;0;0;1;1;E01002840;24/01/2018
24;7.863.018.181;14.684.316;1;3;2;1;3;17:25;12;E09000020;5;0;6;30;6;4;6;0;0;0;4;1;1;0;0;1;2;E01002858;18/01/2018
25;7.861.960.304;147.120.892;1;3;2;1;7;07:34;12;E09000020;3;4;3;30;3;2;4;319;0;5;1;1;2;0;0;1;1;E01002819;29/01/2018
26;7.851.960.607;1.474.996.632;1;3;1;1;4;16:35;12;E09000020;5;0;6;30;3;4;6;0;0;1;4;2;2;0;0;1;1;E01001944;19/01/2018
27;7.854.789.008;1.475.608.546;1;3;2;1;1;20:00;12;E09000020;4;450;6;30;0;-1;-1;0;0;0;4;1;1;0;0;1;1;E01002874;30/01/2018
28;7.848.281.105;1.476.917.912;1;3;2;2;7;13:15;12;E09000020;3;3220;6;30;6;2;3;3218;0;5;1;2;2;0;0;1;3;E01002849;29/01/2018
29;7.848.775.217;1.476.713.783;1;3;2;1;3;18:20;12;E09000020;3;4;3;30;6;2;5;0;0;5;4;2;2;0;0;1;1;E01002835;01/02/2018
30;7.862.494.181;1.466.271.495;1;3;2;1;4;07:25;12;E09000020;4;319;6;30;3;4;6;0;0;1;4;1;1;0;0;1;1;E01002863;02/02/2018
31;7.863.752.981;1.471.344.373;1;2;2;2;3;17:30;12;E09000020;4;412;2;30;2;4;6;0;0;0;4;2;2;0;0;1;1;E01002878;01/02/2018
32;7.850.776.956;1.475.667.091;1;3;2;1;5;12:30;1;E09000033;3;4207;6;30;3;4;5;0;0;1;1;9;1;0;0;1;2;E01002854;03/02/2018
33;7.859.392.551;1.477.905.066;1;3;2;1;7;09:55;12;E09000020;3;4;6;30;3;4;6;0;0;4;1;1;2;0;0;1;1;E01002819;12/02/2018
34;7.853.039.236;1.471.063.037;1;3;2;2;5;13:00;12;E09000020;4;450;6;30;6;4;5;0;0;1;1;2;2;0;0;1;1;E01002909;03/02/2018
35;7.847.719.655;1.469.047.677;1;3;4;1;3;13:02;12;E09000020;5;0;6;30;3;4;6;0;0;1;1;1;1;0;0;1;1;E01002906;01/02/2018
36;7.848.284.431;1.475.576.239;1;3;2;2;5;22:55;12;E09000020;6;0;6;30;6;4;6;0;0;0;4;1;1;0;0;1;1;E01002880;03/02/2018
37;7.848.314.791;1.465.934.691;1;3;2;1;5;17:30;11;E09000013;3;308;6;30;0;-1;-1;0;0;0;4;1;1;0;0;1;1;E01001921;03/02/2018
38;7.857.127.371;1.472.357.252;1;3;2;1;1;15:00;12;E09000020;3;3220;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;06/02/2018;
39;7.860.569.287;1.477.430.844;1;3;2;1;7;21:25;12;E09000020;3;4;3;30;6;2;3;3220;0;5;4;1;1;0;0;1;1;E01002848;05/02/2018
40;7.859.067.344;1.474.691.279;1;3;2;1;5;12:41;12;E09000020;3;315;6;30;0;-1;-1;0;0;4;1;1;1;0;0;1;1;E01002816;03/02/2018
41;7.854.745.023;1.472.881.119;1;3;1;1;6;23:35;12;E09000020;3;402;6;30;6;2;3;4204;0;5;4;1;1;0;0;1;1;E01002827;04/02/2018
42;7.850.725.209;1.474.086.665;1;3;2;1;2;09:15;12;E09000020;4;302;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01002900;07/02/2018
43;7.853.432.983;1.471.956.458;1;3;1;1;7;13:25;12;E09000020;3;4206;6;30;0;-1;-1;0;0;5;1;1;1;0;0;1;1;E01002884;12/02/2018
44;7.855.225.769;1.475.605.991;1;3;2;1;3;20:00;12;E09000020;3;308;6;30;3;4;6;0;0;0;4;1;1;0;0;1;1;E01002910;08/02/2018
45;7.847.752.203;1.465.886.224;1;3;2;1;4;08:20;12;E09000020;3;315;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01002889;16/02/2018
46;785.168.018;1.472.059.903;1;3;2;1;2;11:30;12;E09000020;6;0;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01002912;07/02/2018
47;7.854.244.314;148.042.425;1;3;2;1;5;18:10;12;E09000020;3;4;6;30;3;4;3;3218;0;0;4;2;2;0;0;1;1;E01002821;10/02/2018
48;7.848.020.864;1.470.004.009;1;3;1;1;7;11:33;12;E09000020;3;308;6;30;0;-1;-1;0;0;4;1;1;2;4;2;1;1;E01002912;12/02/2018
49;7.863.411.999;1.465.696.462;1;3;2;2;1;20:05;12;E09000020;3;3220;6;30;6;4;6;0;0;0;4;1;1;0;0;1;1;E01002896;13/02/2018
50;7.851.191.085;1.466.926.643;1;3;2;1;3;16:44;12;E09000020;6;0;6;30;6;4;6;0;0;0;4;2;2;0;0;1;1;E01002862;01/02/2018
51;7.851.845.236;147.951.293;1;3;2;1;5;18:00;12;E09000020;3;4206;6;30;9;4;4;415;0;1;4;2;2;0;0;1;2;E01002884;17/02/2018
52;7.863.335.076;1.471.925.762;1;3;1;1;6;10:15;12;E09000020;3;3216;6;30;0;-1;-1;0;0;1;1;1;1;0;0;1;1;E01002859;04/02/2018
53;7.863.917.889;1.479.691.544;1;2;1;1;3;18:15;12;E09000020;4;450;6;30;0;-1;-1;0;0;1;4;1;1;0;0;1;1;E01002905;15/02/2018
54;7.855.732.153;1.475.235.597;1;3;2;1;4;10:35;12;E09000020;3;3220;6;30;6;2;3;3217;0;0;1;1;1;0;0;1;1;E01002913;16/02/2018
55;785.178.633;1.472.475.233;1;3;1;1;6;17:36;12;E09000020;4;412;6;30;6;2;6;0;0;5;4;2;2;0;0;1;1;E01002831;18/02/2018
56;7.856.840.811;1.471.223.295;1;3;1;1;3;16:05;12;E09000020;6;0;6;30;3;4;3;315;0;0;1;1;1;0;0;1;1;E01002889;15/02/2018
57;7.848.648.092;147.668.848;1;3;1;1;5;13:56;12;E09000020;5;0;6;30;3;4;5;0;0;1;1;2;2;0;0;1;1;E01002892;10/02/2018
58;785.896.443;1.474.396.476;1;3;2;1;4;14:10;12;E09000020;4;450;6;30;6;4;6;0;0;0;1;1;1;0;0;1;1;E01002878;16/02/2018
59;7.856.578.701;1.474.663.423;1;3;2;1;2;10:10;12;E09000020;6;0;1;30;2;4;6;0;0;0;1;1;1;0;0;1;3;E01002813;21/02/2018
60;7.859.949.243;1.479.266.069;1;3;1;1;1;14:50;12;E09000020;6;0;6;30;3;4;6;0;0;0;1;2;2;0;0;1;1;E01002871;20/02/2018
61;785.428.864;1.474.747.202;1;3;3;1;3;14:43;12;E09000020;3;3220;3;30;0;-1;-1;0;0;0;1;1;2;0;0;1;1;E01002840;22/02/2018
62;7.851.649.786;1.471.827.284;1;3;2;2;2;17:20;12;E09000020;3;3220;6;30;3;4;6;0;0;4;4;1;1;0;0;1;1;E01002848;21/02/2018
63;7.858.783.427;1.479.753.447;1;3;2;1;1;12:40;12;E09000020;3;3220;2;30;0;-1;-1;0;0;5;1;1;1;0;0;1;1;E01002814;20/02/2018
64;7.850.462.661;1.474.186.473;1;3;1;2;1;13:55;1;E09000033;3;315;6;30;0;-1;-1;0;0;4;1;1;1;0;0;1;1;E01004689;20/02/2018
65;7.850.372.105;1.467.450.274;1;3;2;2;7;22:25;12;E09000020;3;308;6;30;0;-1;-1;0;0;0;4;1;1;0;0;1;1;E01002821;26/02/2018
66;7.853.697.377;1.472.235.024;1;3;4;1;2;18:14;12;E09000020;5;0;6;30;6;4;6;0;0;0;4;1;2;0;0;1;1;E01002836;28/02/2018
67;7.860.142.027;146.920.907;1;3;2;1;5;16:30;12;E09000020;3;3217;6;30;6;2;3;3220;0;5;1;1;2;0;0;1;1;E01002913;24/02/2018
68;7.851.914.542;1.465.809.725;1;3;1;1;3;19:00;12;E09000020;5;0;6;30;3;4;6;0;0;0;4;2;2;0;0;1;1;E01002910;01/03/2018
69;7.851.682.898;147.622.116;1;3;1;1;4;17:13;12;E09000020;6;0;6;30;0;-1;-1;0;0;4;4;1;1;0;0;1;1;E01002883;23/02/2018
70;785.874.902;1.465.829.601;1;3;2;1;7;17:00;12;E09000020;3;4;6;30;6;4;5;0;0;5;4;2;2;0;0;1;1;E01002887;26/02/2018
71;7.863.977.968;1.475.147.928;1;3;2;1;5;09:15;12;E09000020;3;3212;3;30;3;2;5;0;0;0;1;3;2;0;0;1;1;E01002844;24/02/2018
72;7.849.362.006;1.470.929.212;1;3;1;1;6;00:11;12;E09000020;3;308;6;30;6;4;5;0;0;5;4;2;2;0;0;1;1;E01002911;25/02/2018
73;7.850.978.723;1.470.005.993;1;3;3;1;4;19:00;12;E09000020;3;402;2;30;3;4;3;4204;0;5;4;1;1;0;0;1;1;E01002827;23/02/2018
74;7.859.567.646;1.478.371.437;1;3;1;1;7;01:48;12;E09000020;3;3220;2;30;3;4;6;0;0;0;4;8;2;0;0;1;1;E01002851;26/02/2018
75;7.854.136.949;1.479.076.767;1;3;1;1;4;07:58;12;E09000020;6;0;6;30;0;-1;-1;0;0;0;1;3;3;0;0;1;1;E01002867;23/02/2018
76;7.857.581.983;1.476.767.886;1;3;1;1;6;14:55;12;E09000020;4;304;6;30;7;2;5;0;0;5;1;1;2;0;0;1;1;E01002822;25/02/2018
77;7.850.021.904;1.469.646.545;1;3;2;1;6;08:22;12;E09000020;3;3217;6;30;3;4;6;0;0;1;1;3;2;0;0;1;1;E01002861;25/02/2018
78;7.860.265.286;1.467.691.971;1;3;1;1;6;04:38;12;E09000020;3;4;3;30;3;4;6;0;0;5;4;3;2;0;0;1;1;E01002835;25/02/2018
79;7.850.214.131;1.475.677.954;1;3;1;1;6;13:20;1;E09000033;3;4206;6;30;7;2;5;0;0;5;1;2;2;0;0;1;1;E01004653;04/03/2018
80;784.917.798;1.466.685.741;1;3;2;1;3;00:30;12;E09000020;3;308;6;30;6;2;5;0;0;0;4;1;2;0;0;1;1;E01002821;01/03/2018
81;78.601.506;1.479.209.554;1;3;2;1;2;19:30;1;E09000033;3;315;6;30;3;4;5;0;0;5;4;3;2;0;0;1;1;E01002891;28/02/2018
82;7.853.344.659;1.479.572.839;1;3;2;1;3;12:03;12;E09000020;3;304;6;30;8;4;6;0;0;0;1;2;2;0;0;1;1;E01002912;01/03/2018
83;7.848.455.418;1.470.195.026;1;3;2;1;2;23:03;12;E09000020;3;3220;6;30;6;2;3;3220;0;0;4;1;1;0;0;1;1;E01002840;14/02/2018
84;7.861.444.643;1.465.835.189;1;3;2;1;4;22:19;12;E09000020;3;3220;6;30;3;4;6;0;0;0;4;2;2;0;0;1;1;E01002840;02/02/2018
85;7.863.919.316;1.478.135.494;1;3;2;1;5;14:30;12;E09000020;3;308;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01002912;03/03/2018
86;7.858.129.086;1.478.138.849;1;2;2;1;3;19:15;12;E09000020;3;315;6;30;0;-1;-1;0;0;0;4;2;2;0;0;1;2;E01002814;01/03/2018
87;7.861.902.632;1.466.241.545;1;3;2;1;3;18:31;12;E09000020;3;315;6;30;3;4;6;0;0;4;4;2;2;0;0;1;1;E01002814;01/03/2018
88;7.859.075.788;1.467.088.489;1;3;2;4;7;02:58;12;E09000020;3;308;3;30;3;2;3;4;0;5;4;1;1;0;0;1;1;E01002821;05/03/2018
89;7.856.631.994;1.476.510.556;1;3;1;1;3;10:40;12;E09000020;6;0;6;30;3;4;3;308;0;0;1;1;1;0;0;1;1;E01002822;01/03/2018
90;7.852.627.463;1.474.048.644;1;3;1;1;3;23:40;12;E09000020;4;412;6;30;6;2;6;0;0;0;4;1;1;0;0;1;1;E01002831;08/03/2018
91;7.863.780.456;1.478.069.749;1;3;1;1;5;21:07;12;E09000020;6;0;1;30;2;4;6;0;0;0;4;1;2;0;0;1;1;E01002833;03/03/2018
92;7.860.107.905;1.467.955.824;1;2;2;1;7;18:40;12;E09000020;4;415;6;30;3;4;6;0;0;0;4;2;2;0;0;1;1;E01002882;05/03/2018
93;7.859.274.347;1.476.252.813;1;3;1;1;7;16:55;12;E09000020;3;4;3;30;0;-1;-1;0;0;0;4;1;1;0;0;1;1;E01002814;05/03/2018
94;7.856.313.479;1.467.937.043;1;3;1;1;3;13:36;12;E09000020;3;3217;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01002840;08/03/2018
95;7.860.856.414;1.474.191.231;1;3;2;1;1;01:05;12;E09000020;3;402;6;30;6;2;3;4204;0;0;4;1;1;0;0;1;1;E01002827;06/03/2018
96;7.859.335.206;1.470.903.447;1;3;2;1;3;12:20;12;E09000020;4;450;6;30;6;4;6;0;0;0;1;1;1;0;0;1;1;E01002874;08/03/2018
97;784.715.623;1.465.677.436;1;3;2;1;3;08:56;12;E09000020;3;3220;6;30;6;2;5;0;0;5;1;1;1;0;0;1;1;E01002869;08/03/2018
98;7.847.488.499;1.466.076.976;1;3;3;1;4;16:55;12;E09000020;3;3220;6;30;6;2;3;308;0;5;1;1;1;2;0;1;1;E01002912;09/03/2018
99;7.863.945.235;1.471.711.614;1;3;3;2;4;15:35;12;E09000020;3;4204;6;30;3;4;6;0;0;1;1;1;1;0;0;1;1;E01002827;09/03/2018
100;7.863.908.275;1.478.005.852;1;3;1;1;2;17:35;12;E09000020;3;3218;6;30;0;-1;-1;0;0;0;1;1;2;0;0;1;1;E01001883;14/03/2018
101;7.857.058.917;1.467.090.569;1;3;1;1;5;09:15;12;E09000020;4;450;6;30;0;-1;-1;0;0;4;1;1;1;0;0;1;1;E01002831;17/03/2018
102;7.846.344.518;1.474.883.981;1;3;2;1;1;00:15;12;E09000020;4;450;6;30;6;4;6;0;0;0;4;1;1;0;0;1;3;E01002879;13/03/2018
103;7.847.847.421;1.473.100.256;1;3;2;1;3;13:02;12;E09000020;5;0;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01002905;15/03/2018
104;7.853.747.456;1.471.947.132;1;3;2;1;2;20:00;12;E09000020;3;308;6;30;6;2;5;0;0;5;4;1;1;0;0;1;1;E01002911;14/03/2018
105;7.862.941.011;1.478.927.976;1;3;2;1;3;15:31;12;E09000020;3;304;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01002913;15/03/2018
106;7.862.081.325;1.475.982.788;1;2;2;1;3;09:40;12;E09000020;3;315;3;30;6;2;3;3220;0;5;1;1;1;0;0;1;1;E01002867;15/03/2018
107;785.261.796;1.477.397.946;1;2;2;1;4;09:13;12;E09000020;3;402;2;30;3;2;5;0;0;5;1;1;1;0;0;1;1;E01002873;09/03/2018
108;7.856.387.498;1.472.388.961;1;3;1;2;6;14:41;12;E09000020;3;4;3;30;3;4;6;0;0;1;1;1;1;0;0;1;1;E01002819;18/03/2018
109;7.862.644.835;1.468.705.541;1;3;2;1;4;08:17;12;E09000020;3;402;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01002883;09/03/2018
110;7.863.897.516;1.472.694.687;1;3;3;2;5;11:07;12;E09000020;5;0;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01002832;17/03/2018
111;7.852.491.295;1.479.386.514;1;3;2;1;5;20:55;12;E09000020;3;3220;3;30;3;4;6;0;0;1;4;1;1;0;0;1;1;E01002840;17/03/2018
112;7.863.284.938;1.473.825.519;1;3;1;1;5;23:30;12;E09000020;3;3220;6;30;6;2;3;3217;0;5;4;1;1;0;0;1;1;E01002843;17/03/2018
113;7.846.561.537;1.466.612.627;1;3;1;1;1;20:45;12;E09000020;4;450;6;30;3;4;6;0;0;0;4;1;1;0;0;1;1;E01002874;13/03/2018
114;7.857.424.101;1.468.721.774;1;2;2;1;4;20:20;12;E09000020;3;3220;6;30;0;-1;-1;0;0;0;4;1;1;0;0;1;1;E01002866;16/03/2018
115;7.851.496.972;1.473.016.531;1;3;1;1;5;13:53;12;E09000020;3;315;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01002826;24/03/2018
116;7.859.715.089;1.469.456.664;1;3;1;2;1;14:31;12;E09000020;5;0;6;30;6;4;6;0;0;0;1;1;1;0;0;1;1;E01002858;20/03/2018
117;7.859.656.167;1.474.556.922;1;3;1;1;2;09:22;12;E09000020;3;3217;6;30;3;4;6;0;0;1;1;1;1;0;0;1;1;E01002903;21/03/2018
118;7.862.947.418;1.466.045.209;1;3;1;1;6;18:03;12;E09000020;3;3220;2;30;0;-1;-1;0;0;1;4;1;1;0;0;1;1;E01002850;18/03/2018
119;7.846.851.877;1.471.027.655;1;3;1;1;1;13:45;12;E09000020;3;3217;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01002902;20/03/2018
120;7.857.672.392;1.477.471.619;1;3;2;1;4;15:45;12;E09000020;6;0;6;30;9;4;6;0;0;0;1;1;1;0;0;1;1;E01002890;23/03/2018
121;7.863.055.429;1.480.468.822;1;3;2;1;5;08:17;12;E09000020;3;3217;6;30;3;4;6;0;0;1;1;1;1;0;0;1;1;E01002859;24/02/2018
122;7.857.629.322;1.470.767.864;1;3;2;1;4;23:17;12;E09000020;5;0;6;30;3;4;6;0;0;0;4;1;1;0;0;1;1;E01002852;23/03/2018
123;7.850.329.991;1.479.490.273;1;3;2;1;5;19:20;12;E09000020;4;412;6;30;6;2;6;0;0;5;4;1;1;0;0;1;1;E01002831;24/03/2018
124;7.851.266.275;1.469.858.571;1;3;2;1;5;12:01;12;E09000020;6;0;2;30;6;4;6;0;0;0;1;1;1;0;0;1;1;E01002865;24/03/2018
125;7.847.503.602;1.470.878.444;1;3;2;1;5;23:39;12;E09000020;4;450;6;30;3;4;6;0;0;0;4;1;1;0;0;1;1;E01002909;31/03/2018
126;7.860.791.282;1.475.358.474;1;3;2;1;2;11:40;12;E09000020;6;0;6;30;8;4;6;0;0;0;1;1;1;0;0;1;1;E01002877;21/03/2018
127;7.852.983.052;1.476.179.671;1;3;3;1;6;12:30;12;E09000020;6;0;2;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01002888;18/03/2018
128;7.859.331.286;1.476.420.208;1;3;1;1;5;12:40;12;E09000020;3;4;3;30;0;-1;-1;0;0;0;1;2;2;0;0;1;1;E01002821;24/02/2018
129;785.308.538;1.468.323.088;1;3;1;1;5;09:20;12;E09000020;3;4;6;30;3;4;3;4;0;0;1;1;1;0;0;1;1;E01002819;24/03/2018
130;7.848.250.575;1.466.622.816;1;3;3;1;4;08:23;12;E09000020;3;4;3;30;6;2;3;3220;0;0;1;1;1;0;0;1;1;E01002851;23/03/2018
131;7.854.648.246;1.470.243.018;1;3;2;1;4;18:36;12;E09000020;3;3218;6;30;3;2;6;0;0;5;4;1;1;0;0;1;1;E01002820;23/03/2018
132;7.858.910.297;146.790.203;1;3;2;1;5;17:10;12;E09000020;4;319;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01002818;31/03/2018
133;7.859.333.209;1.478.989.934;1;3;1;1;2;15:30;12;E09000020;5;0;6;30;6;4;6;0;0;1;1;1;1;0;0;1;2;E01002825;14/03/2018
134;7.853.104.421;1.471.726.722;1;3;1;1;7;03:00;12;E09000020;3;308;2;30;6;2;3;3220;0;5;4;1;1;0;0;1;2;E01002913;12/03/2018
135;7.860.886.599;1.473.851.985;1;3;2;1;7;09:45;12;E09000020;6;0;6;30;6;4;6;0;0;0;1;1;1;0;0;1;1;E01002830;09/04/2018
136;784.734.492;1.465.945.932;1;3;1;1;5;14:30;12;E09000020;3;3218;2;30;6;2;3;3218;0;5;1;2;2;0;0;1;1;E01002821;07/04/2018
137;7.863.796.093;1.469.902.435;1;3;2;1;7;11:09;12;E09000020;3;402;3;30;3;4;6;0;0;4;1;1;1;0;0;1;1;E01002884;02/04/2018
138;7.858.360.051;1.468.998.045;1;2;2;1;5;17:00;1;E09000033;3;315;6;30;3;2;5;0;0;5;1;1;1;0;0;1;3;E01004688;17/03/2018
139;7.858.049.308;1.478.806.724;1;3;2;1;5;15:12;12;E09000020;6;0;6;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01002852;31/03/2018
140;7.853.138.575;1.472.621.264;1;3;1;1;5;13:15;12;E09000020;3;4;6;30;6;2;5;0;0;5;1;1;1;0;0;1;1;E01002821;07/04/2018
141;7.851.771.818;1.476.506.434;1;3;2;1;5;21:25;1;E09000033;3;4;3;30;7;2;3;3216;0;5;4;1;2;0;0;1;1;E01004689;31/03/2018
142;7.853.267.456;1.479.669.925;1;3;1;1;4;00:32;12;E09000020;4;450;6;30;6;4;5;0;0;1;4;1;1;0;0;1;1;E01002856;06/04/2018
143;7.863.541.032;1.467.611.552;1;3;2;1;3;08:25;12;E09000020;3;3217;6;30;6;4;5;0;0;0;1;1;1;0;0;1;1;E01002844;05/04/2018
144;7.852.016.722;1.472.006.418;1;3;1;1;6;09:04;12;E09000020;3;3217;6;30;3;4;6;0;0;1;1;1;1;0;0;1;1;E01002859;08/04/2018
145;7.853.274.753;1.469.178.919;1;3;1;1;7;16:42;12;E09000020;4;412;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01002829;02/04/2018
146;7.851.171.699;1.480.505.263;1;3;3;1;4;08:40;12;E09000020;3;4;3;30;3;2;5;0;0;5;1;2;2;0;0;1;1;E01002850;06/04/2018
147;7.852.828.898;146.707.471;1;2;2;1;6;23:40;12;E09000020;3;3218;2;30;6;2;3;3220;0;5;4;1;1;0;0;1;1;E01002849;01/04/2018
148;7.853.216.836;146.647.056;1;3;1;1;4;18:15;12;E09000020;3;4;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01002850;06/04/2018
149;7.849.745.637;1.479.130.625;1;2;2;1;2;06:18;12;E09000020;3;3220;3;30;6;2;3;4;0;0;1;1;1;0;0;1;1;E01002814;04/04/2018
150;7.856.291.399;1.466.644.638;1;3;2;1;6;10:40;12;E09000020;3;3217;3;30;3;4;6;0;0;0;1;1;1;0;0;1;1;E01002844;08/04/2018
151;7.857.011.463;1.473.892.886;1;3;2;1;6;08:28;12;E09000020;4;450;6;30;6;4;4;412;0;4;1;2;2;0;0;1;1;E01002874;08/04/2018
152;7.851.418.176;1.477.872.964;1;3;2;1;6;12:58;12;E09000020;3;4;3;30;3;4;6;0;0;4;1;1;1;0;0;1;1;E01002819;08/04/2018
153;7.852.341.118;147.140.019;1;3;2;1;1;19:25;11;E09000013;3;3220;6;30;1;4;3;40;0;0;4;1;1;0;0;1;2;E01002877;10/04/2018
154;7.848.058.843;1.480.338.568;1;3;2;1;1;08:43;11;E09000013;3;3220;1;30;1;4;3;40;0;0;1;1;1;0;0;1;1;E01002877;13/03/2018
155;785.968.315;1.471.049.446;1;3;1;1;3;13:28;12;E09000020;5;0;2;30;6;4;6;0;0;0;1;2;2;0;0;1;1;E01002865;19/04/2018
156;785.092.686;147.857.426;1;3;1;1;1;18:15;12;E09000020;6;0;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01002889;03/04/2018
